Vehicle_ID,St_01_Generic_Sensor,St_02_Generic_Sensor,St_03_Generic_Sensor,St_04_Generic_Sensor,St_06_Generic_Sensor,St_07_Generic_Sensor,St_08_Generic_Sensor,St_09_Generic_Sensor,St_10_Generic_Sensor,St_11_Generic_Sensor,St_12_Generic_Sensor,St_13_Generic_Sensor,St_14_Generic_Sensor,St_15_Generic_Sensor,St_16_Generic_Sensor,St_17_Generic_Sensor,St_18_Generic_Sensor,St_19_Generic_Sensor,St_21_Generic_Sensor,St_22_Generic_Sensor,St_23_Generic_Sensor,St_24_Generic_Sensor,St_25_Generic_Sensor,St_26_Generic_Sensor,St_27_Generic_Sensor,St_29_Generic_Sensor,St_30_Generic_Sensor,St_31_Generic_Sensor,St_32_Generic_Sensor,St_33_Generic_Sensor,St_34_Generic_Sensor,St_36_Generic_Sensor,St_37_Generic_Sensor,St_38_Generic_Sensor,St_39_Generic_Sensor,St_40_Generic_Sensor,St_05_Body_Robotic_Weld,St_20_Paint_Oven_Temp,St_28_Final_Legacy_Align,St_35_Final_Vibration,End_of_Line_Defect
1,52.483570765056164,46.60752634756389,51.741431238334094,40.09714016219797,47.640712258493,50.49103072839529,50.39418879834068,51.60076203919732,53.32000538576905,54.80447282748806,55.152972939952896,54.00436929199564,48.906748667406134,55.587662931975245,48.6723135973756,56.84938990428972,57.163113800311336,40.88375882336101,52.063905272368345,54.80629200597319,57.80920356439097,47.30738866776542,43.73684368567298,42.73485138156885,51.38255365515676,52.772659346676775,49.29478828662489,46.26954383947535,55.769557884057384,53.917146828355975,43.000891508809616,52.88138556532298,55.801018567342894,48.31654455874546,49.7479003575797,52.61156674024848,105.38919176249655,160.33961447182585,0.585310656561111,0.5784409219890578,0
2,49.308678494144075,48.47250268473174,51.41661796267833,44.72507176531564,55.063512355078004,49.67945885561698,52.81448741592529,55.57730800314112,48.519419756589535,48.150176316247695,44.2232261647748,49.75420308439158,51.9146928800327,51.479966229896036,45.710310523341974,49.45867443685762,45.247909610005244,48.309252580660605,58.8659928147903,57.16980799777076,49.52885844014397,61.46030381603698,46.16669917364389,50.54634817420102,55.218480547668136,58.768603713309105,49.32334616575787,53.78520085622814,49.84530384202474,40.36595753818023,52.7391138013837,60.14386607564259,50.224399584291604,49.13639045243479,48.97657281709204,46.473777293753905,104.47984206752753,164.61999568321542,0.5657252644516415,0.5891128139661511,0
3,53.23844269050346,47.01309469477429,45.31740077097254,47.06485796853707,49.00906576348841,54.75895378009768,51.70550976641687,42.473809051621856,49.66706795448489,47.102095542734716,52.87718595112074,47.76743683390996,53.67570980098648,51.92243714072209,52.23685782804554,44.584565418634995,57.695475670349325,50.13720539623176,42.380143656220504,49.98095398464674,43.35232200981953,42.47944148219224,50.43414525836976,52.42883661663165,50.01941539653172,47.742661986348224,50.3793896261438,47.860600639944614,51.844510715326344,53.859696760695876,49.39618840773943,52.53071029418939,47.6539604936906,47.95118009368042,52.787373780337575,47.131883927111474,104.0652536242272,152.7811074117797,,0.6432613541027765,0
4,57.61514928204013,50.5520902347306,52.89792110881869,50.74834455462346,50.4528463235882,57.6641557071311,43.610429009035414,58.69802832909167,49.12308814432217,54.66656079057475,46.90380770919316,50.840074914704196,44.083176895167725,43.97095363784613,44.926862237883675,56.9598040721779,54.331443462659465,53.97667612996312,49.081117883702696,51.17301000073264,43.05680933727244,56.87602330311901,49.6253929942148,52.64180530587023,44.808976774900394,56.602955850054364,50.96279278688075,61.14358916862332,50.65966914469708,48.29715510955269,48.58368122022386,42.73023055019327,45.713233802928464,50.52127246602615,43.315871218810926,51.331863783264616,98.01591895612079,158.93214288355358,,0.5388816292802537,0
5,48.82923312638332,55.98589265730956,42.54958662211691,55.12081163303439,53.586953033188585,53.43423472067308,49.068898489860366,51.650433921381335,52.570268402981675,36.342301341164585,48.36298596814524,39.36612278745977,50.503694909940464,52.007289000369255,55.67167334315123,49.43411591954551,45.49088313304262,50.05465786154349,49.48707352647653,46.393275424413815,48.28674609343033,51.629504486365406,52.31622705386113,54.411833005707045,55.88093595370614,40.06504359857195,61.28356527035738,49.433624272612576,56.92490338612848,54.96472950255541,53.83784608013433,46.00816558019275,42.55033443221394,45.926580390826146,58.90128566667538,46.53612658335199,103.02007150011036,161.71436574967848,,0.7079993562119109,0
6,48.8293152152541,46.14478921429398,46.729078371198355,53.470679716858825,49.7051829657553,55.057718755852314,53.26389774542122,50.54863204449792,51.43065233060133,43.62293837698773,50.23802133433459,40.58975939016427,47.99518691805256,53.15837863342183,56.94475031860506,47.3360619008788,51.652375061530975,55.03388057632094,47.53442151029899,52.519004347934136,42.09740114299437,51.537790425028064,52.05803211891925,54.313488999475915,48.842496381704755,48.493952764421415,48.707167108408605,48.464045764823496,53.22971911939009,42.814025422090374,47.82665637287899,46.66693502786347,47.521611470100154,52.238853167686365,54.207103491722044,47.94291347076471,107.90745317830898,149.96394675893438,2.3954308127449973,0.5665003670700121,0
7,57.896064077536955,55.00410248884207,40.00456093551096,44.10337600776257,40.91076070835071,48.91297883846793,52.090201612189645,45.242076004555706,59.53159968626625,51.21326452632735,49.4025447413672,52.0504044319141,45.818496969254255,54.880011601833665,45.153381219150006,54.441254984393034,51.50898719481729,56.05701897109456,49.69751066952572,53.1627529930505,52.935740340534416,51.61143970426904,58.46514924084558,54.99692935906544,48.75634152568385,53.66397187673421,52.81661197656789,42.404755283308326,52.05373010411434,52.75698586883394,52.288665963445396,49.25727245776491,50.07931205151761,46.09751656006067,45.90835808840528,47.52807699474126,102.21049407291649,159.86043302515878,0.24963302524970987,0.6567552060862692,0
8,53.837173645764544,46.09163963826556,57.793132584814074,48.141438689171736,55.20293752276774,50.62702403069567,46.09064789726388,46.81580108809008,48.079282508340675,54.190159840177635,41.61947179253532,42.56565265669148,46.79146785118578,47.25308256085093,52.04741395842567,52.73803977431376,46.113978562817636,53.4747792372042,53.07710242375165,40.36753703625154,50.990862485003326,50.7059754696316,42.40133936524633,63.15575677080268,52.53892425459043,52.47776141051505,52.3516755370929,53.99463138600692,46.75300398206027,55.48941032782966,47.53862406254462,53.415751761502804,57.86980419567398,50.58317208326305,44.56616693840722,48.315247154828334,105.74991056632877,162.03451028129928,,0.43536215413823676,0
9,47.65262807032524,45.76186393751558,48.84225253027352,50.38187794351283,56.27464414957526,57.4286603679982,52.079517371322204,48.11228417670668,58.9642613878263,54.23387993014919,56.90906010581658,46.246610116896264,52.49102844373285,55.18450632559348,45.341495195429175,50.61577240056452,53.11745424164733,48.31740607022319,47.875627779322684,53.64257581341135,50.247596014667295,48.70320699076127,51.010818870169345,50.67435230545102,54.2321264365722,45.32613667581664,45.01261320708678,49.206924857717745,40.67961948972709,54.10781644583027,51.251394395870605,51.54411602706972,55.25758962775464,50.89886576291002,49.312318281477204,55.536113671862026,113.89654019543285,164.88771614802067,0.45888256528226024,0.5300516079821098,0
10,52.712800217929825,54.09297309171607,60.83442017408156,48.688964377767505,40.84441954199778,52.63355730129114,54.574446259022196,42.870730504678235,40.94128087050807,36.38467715112282,55.672046093794485,51.0462362578772,42.64047395373344,54.80827446381729,41.14515188843728,47.02576080972403,48.628495407319924,51.52629256983225,54.430653251629955,55.716517993205784,46.90318649204607,46.97411885278328,43.92076501513875,59.52703335086743,49.622918653475104,57.71961218053891,43.30456179480265,55.6157609240157,49.139712419012234,53.881702227992555,46.02996795230936,54.07503581815641,54.38692834363559,55.734024617788826,62.65078351891367,49.37413731386459,116.66111987931012,163.73182916340065,,0.6270914489012385,0
